Id,Code,Name,Description,Category
657,PP2-3-8-3,Foreshortening,Foreshortening is a geometric distortion occurring in the SAR image due the side-looking geometry of imaging radar sensors. It occurs principally in SAR images of mountainous areas - on slopes oriented towards the sensor. These slopes appear in the radar image as if being compressed. Due to the side looking geometry and the mapping of the SAR image based on range and time measurement - the distance in the SAR image between two points situated on a slope facing the sensor appears smaller than it is in the reality and than the same distance between two points situated in flat area. This results in a compression of the radiometric information of the slope. The resulting foreshortening area is brighter in the SAR image than its surroundings - as it compresses in a few pixels the backscatter information of the whole slope. \r\rForeshortening occurs for slopes whose inclination is smaller than the look angle of the radar antenna. Due to the variation of the look angle in the SAR image - the foreshortening is more pronounced in near range than in far range. Foreshortening is therefore greater for small incidence angles. The extreme case of foreshortening happens when the slope inclination is equal to the look angle: in this case - the whole slope is mapped in one pixel of the SAR image - which results in a very bright line. When the slope inclination becomes higher than the look angle - layover occurs.,NONE
658,PP2-3-8-4,Layover,Layover is a geometric distortion occurring in the SAR image due the side-looking geometry of imaging radar sensors. It occurs principally in SAR images of mountainous areas - on steep slopes oriented towards the sensor. These slopes appear in the radar image as if being flipped over. Due to the side looking geometry and the mapping of the SAR image based on range and time measurement - the summit of a mountain is closer to the sensor that the foot of that same mountain - on the side facing the sensor. The signal from the top comes back to the sensor before the signal from the foot and is therefore mapped in nearer range than the foot of the mountain. Making an analogy to sound waves - an echo from the top of the mountain will arrive sooner at the sensor than an echo from the bottom of the mountain. Due to this “leaning over” effect - the sensor facing slope signal usually overlaps with ground signal - and a “ghost” effect appears as both signals overlap. The resulting layover area is usually very bright in the SAR image - as it superimposes backscatter signals from the slope of the mountains and the ground before it. When considering SAR images of urban areas - even up to three signals may overlap in the layover area: ground - building façade and (part of the) roof area.\r\rLayover occurs for slopes whose inclination is larger than the look angle of the radar antenna. Due to the variation of the look angle in the SAR image - layover occurs more often in near range than in far range. Layover is therefore greater for small incidence angles. It represents the extreme case of foreshortening - when the slope inclination becomes higher than the look angle.,NONE
659,PP2-3-8-5,Shadow,Radar shadow is a geometric distortion occurring in the SAR image due the side-looking geometry of imaging radar sensors. It occurs principally in SAR images of mountainous areas - on steep slopes oriented away from the sensor. In optical imagery - a shadow area is an area characterized by less sun illumination whose reflection is therefore weaker. In SAR imagery - shadow areas receive no signal. It occurs for example at the backside of mountains or buildings. The areas facing away from the sensor are not illuminated by the SAR sensor - as they are “hidden” from it. Also - ground area situated behind high object with respect to the sensor position are not illuminated and are situated in the radar shadow. They receive no signal information and send no information back to the sensor.  Those areas are therefore very dark in SAR images. The size of the shadow area in range direction corresponds to the time delay between the last echo from the top of the mountain and the first echo of the far edge of the shadow region - where the area is not hidden from the sensor anymore.\r\rRadar shadow occurs when the slope inclination of the slope facing away from the sensor is larger than 90° minus the antenna look angle. As for the other geometric effects - the size of a shadow area for the same object depends on its situation in the image. But - unlike as for foreshortening and layover - shadow is more pronounced in far range than in near range - i.e. large incidence angles produce more shadow.\r\rA SAR image may show a return signal in a shadow area: this is principally due to internal sensor noise and does not correspond to any target return signal.,NONE
660,PP2-3-8,Terrain reflectivity and geometric distortions,Synthetic Aperture Radar (SAR) backscatter is determined both by dieletric and geometric properties of the illuminated target. While the water content of the target plays an important role - its surface roughness determines the scattering mechanisms and the amount of incoming signal sent back to the sensor.\rDepending on its characteristics but also on the considered wavelength - a surface appears more or less rough. On smooth surfaces - specular reflection occurs - meaning that most of the incoming signal will be reflected away from the sensor. For rough surfaces - diffuse reflection occurs - meaning that part of the signal is scattered back to the sensor - the amount of it depending on different surface roughness parameters. \rDepending of the observed target and surface - single or multiple scattering mechanisms occur. A particularly important scattering mechanism is the double bounce - which occurs generally at two perpendicular surfaces (e.g. ground and building wall). Through two successive specular reflections - the whole signal comes  back to the sensor.\rDue to the side-looking geometry of SAR systems and the range dependent image representation - specific additional effects occur and affect the backscatter intensity. Whereas a flat terrain only appears more compressed in near range and more stretched in far range - larger geometric distortions appear for terrain with more topography (e.g. mountains) or high objects (e.g. trees - buildings). This relief displacement is caused by the target’s elevation. A high elevated object is closer to the sensor than the ground below it. Due to the image formation in range direction depending on the distance between sensor and targets - its signal comes back sooner to the sensor and it is represented in the SAR image in nearer range than the ground below it. High objects in the SAR image are therefore displaced horizontally toward the radar antenna. This horizontal displacements contrast with the radial displacement observed in optical imagery due to central projection. Furthermore - such objects hide part of the ground below them - which do not receive any signal and cannot scatter information back. Three particular geometric distortions exist: foreshortening - layover and shadows.\rDepending on the illuminated target - different scattering mechanisms occur in combination with geometric distortions - which makes the interpretation of the SAR image challenging. A good example are buildings - where layover - shadow and single- and double-bounce occur.,NONE
661,PP2-3-9,Speckle Formation,A typical “salt-and-pepper” noise-like physical phenomenon that is not a noise but a deterministic property of SAR imagery is the so called speckle. It appears when a resolution cell of a SAR system contains more than one scatterer. In that case - the total scattering from the resolution cell is a coherent sum of the backscatter originating from the different scatterers. In order to reduce this effect - speckle reduction methods can be applied.,NONE
662,PP2-3,Detecting microwaves,Microwave remote sensing systems detect and quantify the electromagnetic radiation arriving at a detector - this radiation being either emitted (passive sensors) or scatterered back (active sensors) from the objects.\rThree properties of the recorded electromagnetic signal are of particular interest: its intensity - its phase and its polarization. The specific quantification of each properties allows signal interpretation - as they depend on the roughness and dielectric characteristics of the surface (intensity and polarization) as well as of the range between target and sensor (phase).\rThe detection of the microwaves is operated through two principal sensor elements: an antenna and a receiver. The antenna collects the incoming radiation and the receiver measures the collected electric signal.\rAs active microwave systems produce their own electromagnetic radiation - they are equipped with two additional elements: a pulse generator and a transmitter. Usually - transmitter and receiver are situated on the same antenna.\rA simple detector system only detects the intensity of the signal and amplifies it. Coherent systems measure both the amplitude and the phase of the incident electromagnetic radiation.\rMicrowave systems can be categorized in two different types: imaging and non-imaging sytems. Whereas for non-imaging systems each echoe (collected signal) provides a single measurement - imaging systems collect a sequence of echoes that generate a two dimensional image.,REMOTE SENSING
663,PP2,Basics of microwave remote sensing,Microwave remote sensing operates in the microwave portion of the electromagnetic spectrum - generally using wavelengths greater than 3 cm and up to 1 m. \rMicrowaves are sensitive to different physical parameters than other regions of the electromagnetic spectrum. Microwaves interactions with objects are governed by geometric (structure - size - shape) and dielectric (water content) properties - whereas other regions of the electromagnetic spectrum reacts e.g. to object temperature or “color” (amount of reflection or absorption of the Sun light by a particular object).\rAs a general rule - microwaves interact with object at least as big as the wavelength. Smaller objects will therefore be transparent for the signal. Due to the large wavelengths - atmospheric particles are almost transparent to the signal and microwave remote sensing can penetrate clouds. Under very dry conditions - microwaves can even penetrate up to a few meters the top soil layers - therefore providing information that is not visible in other regions of the electromagnetic spectrum. Depending on the considered wavelength - microwave can also penetrate vegetation layers to different amounts.\rIn microwave remote sensing - three characteristics of the electromagnetic wave play an important role: its amplitude - its phase and its polarization. Depending on the application - either one characteristic or a combination of them is used to retrieve information.\rThere are two main types of microwave sensors: active RADAR systems and passive radiometers. RADAR is an acronym for RAdio Detection And Raging. An active radar system sends out pulses and records the echoes scattered back by the objects (scatterers) to the sensor. The systems use the two-way travel time of the radar pulse to determine the distance (range) to the illuminated object. Its backscatter intensity is determined by the radar system and object properties and depends on the quantity of energy coming back to the sensor. Active radar systems transmit a signal and record the amount of energy that is scattered back and depends of both dielectric and geometric properties.  Passive radiometers record microwave energy - which is emitted by the Earth’s surface.\rDepending on the type of system - microwave remote sensing can be used in multiple applications. Active sensors are principally used for diverse land cover mapping applications based on the particular backscattering mechanisms and characteristics of the objects on the Earth’s surface. Using multiple acquisitions - they are also favored for topographic - deformation and velocity mapping. Passive sensors are preferred for the determination of hydrologic variables such as soil moisture - precipitation - ice water content and sea-surface temperature.,REMOTE SENSING
664,PS,Platforms - sensors and digital imagery,Remote sensing - i.e. the process of obtaining information about an object or area from a distance - is not possible without remote sensing sensors that collect this information and the platforms on which the sensors are installed and which are used to move them. Remote sensing sensors collect data by detecting energy that is reflected or emitted from Earth. There are different types of remote sensing sensors. The interaction between the sensor and the Earth's surface has two modes: active or passive. Passive sensors use solar radiation to illuminate the Earth's surface and detect reflection from the surface or measure the emitted energy. They usually record electromagnetic waves in the visible (˜430–720 nm) and near infrared (NIR) (˜750–950 nm) through short infrared (SWIR) (˜1.500-2.500 nm) to thermal infrared (TIR) (8.000-14.000 nm) ranges. The power measured by passive sensors is a function of surface composition - physical temperature - surface roughness and other physical properties of the Earth. Active sensors provide their own energy source to illuminate objects and measure their properties. These sensors use electromagnetic waves in the visible and near infrared range (e.g.laser altimeter) and radar waves (e.g. synthetic aperture radar (SAR)). As sensor technology has advanced - the integration of passive and active sensors into one system has emerged. Alternatively - remote sensing sensors can be classified into imaging sensors - i.e. that produce an image of an area - within which smaller parts of the sensor's whole view are resolved (pixels) - and non-imaging sensors - i.e. that return a signal based on the intensity of the whole field of view. In terms of their spectral characteristics - the imaging sensors include optical imaging sensors - thermal imaging sensors - and radar imaging sensors. These sensors can be on satellites - mounted on aircraft - unmanned aerial vehicle (UAV) -  drone or ground. The collected information can be transformed into an image or set of points (e.g. cloud points) - which can be further processed and analyzed to obtain the necessary information - e.g. agricultural field development phase - level of air pollution - etc.\rA digital imagery of Earth observation sensors is a two-dimensional representation of objects on Earth. Current images collected from different levels of acquisition - from ground to satellite - with the help of electronic sensors are examples of digital images. There are different aspects and characteristics of remote sensing data and images - such as - for example - data formats and processing levels - data storage - data properties.,REMOTE SENSING
665,PS1-1,History of remote sensing sensors,Remote sensing sensors has its roots in the 19th century in the development of photography. Photography was an invention that made it possible to acquire a permanent image. The first photographic image was taken in 1826 by Joseph Nicephore Nieppce. While the first aerial photograph was taken in 1858 by Felix Tournachon - known as Nadar - from a tethered baloon over Biévre Valley in France. In 1907 Julius Neubronner developed a light miniature camera that could be fitted to a pigeon's breast. It can be said that the construction camera + pigeon was the precursor of today's unmanned aerial vehicle (UAV) or drone. Further developments focused on developing new sensors (analog vs. digital frame cameras) and how to save and store images (e.g. photographic emulsions - films). The origin of other types of remote sensing can be traced to World War II - with the development of radar - sonar - and thermal infrared detection systems. Since the 1960s - sensors were designed to operate in virtually all of the electromagnetic spectrum. Both civil and military aerial photography have long been widely used in cartography to create maps. Specialized large format cameras (looking vertically down - assuming the plane is flying horizontally) were developed. Such cameras have been specially designed to perform almost vertical sequences of bird-eye exposures during aircraft flight. Hence for a long time remote sensing consisted of aerial photography and photogrammetry using analogue mechanical or optical equipment. Everything has changed with satellites and the space race. The first real success of remote sensing satellites in serious scientific work was in meteorology - weather satellite TIROS-1 - launched by NASA on April 1 - 1960. \rToday a wide variety of remote sensing instruments are available as data source for use in different applications for land - water and atmosphere monitoring.,REMOTE SENSING
666,PS1-2-1-1-1,Along track scanners,Along track scanner - also known as a pushbroom scanner - is an optoelectronic device that obtains images with a multispectral imaging system. The scanners are used for passive remote sensing. It records electromagnetic energy that is reflected (e.g. - blue - green - red - and infrared light) or emitted (e.g. - thermal infrared radiation) from the surface of the Earth. The scanners are mounted on space- or aircrafts. \rA two-dimensional image is created (line by line) by exploiting the platform motion along the orbital track. The data are collected along track using a linear array of detectors arranged perpendicular to the direction of travel. The array of detectors are pushed along the flight direction to scan the successive scan lines - and hence the name pushbroom scanner. \rThere are no moving parts on a pushbroom sensor - hence - the scanning speed can be increased compared to across track systems. A longer dwell time over each ground resolution cell increases the signal strength (high radiometric resolution - no pixel distortion). Additionally - finer spatial and spectral resolution can be achieved as the size of the ground resolution cell is determined by the Instantaneous Field of View (IFOV) of a single detector. The systems are designed for high-resolution imaging. However - a very large number of detectors is needed for high resolution images. It is a complex optical system. In addition - the pushbroom scheme requires a wide Field of View (FOV) optics system to obtain the same swath as for a corresponding whiskbroom (across track) scanner. It has narrow swath width.     \rThe detector arrays with such a line-scanning pushbroom system are usually of the type Charge-Coupled Device (CCD).\rThe MultiSpectral Instrument (MSI) on board the Sentinel-2 satellite (Copernicus mission) uses a pushbroom concept.\rMultispectral imaging systems building the final image (line by line) exploiting the platform motion along the orbital track. No rotating mechanical part required - usually based on a CCD matrix (high spectral resolution but just up to 1 micrometer) - e.g. Sentinel-2 MultiSpectral Instrument (MSI) - Sentinel-3 Ocean and Land Colour Imager (OCLI).,REMOTE SENSING
667,PS1-2-1-2-1,Digital Frame Camera,The cameras - usually a charge-coupled device (CCD) or Complimentary Metal Oxide Semiconductor (CMOS) - that convert light into electrons that can be measured and converted into radiometric intensity value.,NONE
668,PS1-2-1-2,Area Arrays,2-D systems with the ability to observe in two dimensions simultaneously.,NONE
669,PS1-2-1,Line detector arrays,A type of a spectrometer. It is in principle - one-dimensional systems - whisk- or pushbroom - that form an image on a line-by-line basis in the scan direction.,NONE
670,PS1-2-2-1-1,Thermal Radiometers,Thermal radiometers are radiometers with the capability of measuring the spectrum of infrared emission. As such - they are characterized by a relatively high spectral resolution (normally better than 1 cm-1 in wave number units). Modern Spectrometers on board satellites have a spectral resolution better than 0.7 cm -1 in order to properly resolve CO2 lines used for the retrieval of the atmospheric temperature profile. Based on the optical layout they are further classified in grating spectrometers and Fourier Transform Spectrometers or FTIR.,NONE
671,PS1-2-2-1-2,Passive Microwave Radiometers,Passive microwave radiometers are radiometers that measures energy emitted at millimetre-to-centimetre wavelengths at 0.15 - 30 cm (frequencies of 1–200 GHz). Example of a sensor: SMOS Microwave Imaging Radiometer with Aperture Synthesis (MIRAS) - which aims at measuring land soil moisture and ocean salinity.,NONE
672,PS1-2-2-1-3,Hyperspectral Radiometers,An advanced multispectral sensor that detects hundreds of very narrow spectral bands throughout the visible - near-infrared - and mid-infrared portions of the electromagnetic spectrum.,NONE
673,PS1-2-2-1-4,Spectroradiometers,A radiometer that measures the intensity of radiation in multiple wavelength bands (i.e. - multispectral). Example of a sensor Moderate Resolution Imaging Spectroradiometer (MODIS),NONE
674,PS1-2-2-2,Atmospheric passive sounders,Provide information about vertical profiles of temperature and molecular consistuent concentrations in the atmosphere (atmospheric sounders).,NONE
675,PS1-2-2,Radiometers,Radiometers are instruments which measure radiative intensities within a particular frequency window. A radiometer is further identified by the portion of the electromagnetic radiation it covers - usually the infrared or microwave regions. Normally the spectral range extends from the longwave (14-15 micron) to the shortwave (3-4 micron). This range overlaps much of the emission spectrum of Earth. The technology is classified in broadband radiometer of spectral radiometers depending on the spectral resolution. A radiometer measures the intensity of the radiative energy - but does not differenciate between the different registered wavelengths or their respective amplitude.  In other terms - it provides a single value as combined result of all wavelengths within the considered frequency window.,NONE
676,PS1-2,Passive vs. active sensors,Passive remote sensing systems record electromagnetic energy that is reflected (e.g. - blue - green - red - and infrared light) or emitted (e.g. - thermal infrared radiation) from the surface of the Earth. Passive sensors therefore rely on an external energy source (e.g. sun illumination - Earth heat emission). Contrary to passive sensors - who detect naturally occurring radiation - active sensors emit radiation and collect and analyze the signal that is sent back by the Earth’s surface or atmosphere. Active remote sensing systems produce therefore their own electromagnetic energy. They transmit and receive the radiation that is reflected or backscattered from the illuminated target. They do not necessitate an external source of radiation (e.g. Sun or Earth). Contrary to most passive sensors that are bound to detecting either the reflected Sun radiation or emitted radiation by the Earth’s surface in ranges from the ultraviolet to the thermal infrared - active sensors can use any radiation from the electromagnetic spectrum - the only limitation being the transparency of the Earth’s atmosphere. They often use wavelengths that are not sufficiently provided by the Sun - e.g. microwaves. \rActive systems can be categorized either according to their imaging capability - or according to the considered emitted wavelength - or also according to the way they use the returned signal. For the last category - it is generally distinguished between ranging systems - which use as principal information the time delay between transmission and reception of the electromagnetic radiation at the sensor - and scattering systems - which consider the strength (also called magnitude or intensity) - of the returned signal. Some systems also register both information.\rAs active sensors produce their own radiation and do not rely on e.g. Sun radiation - they are daytime independent and can also retrieve information about the Earth’s surface by night. Furthermore - depending of the considered wavelength - active sensors are weather independent. For longer wavelengths of the microwave domain - clouds are transparent - as the transmitted wavelength is larger than the water particles constituting the cloud and do not interact with them. \rActive sensors can control the direction of their illumination to a specific target to be investigated - but require in general more energy than passive sensors as they “actively” illuminate the Earth’s surface.,REMOTE SENSING
677,PS1-3-1-1,Imaging Radar,Imaging radar is an active radar system that sends out pulses and records the echoes scattered back by the objects (scatterers) to the sensor. Imaging radars are independent of weather conditions and can operate day or night. It uses microwave wavelengths - radar bands from X- to P- or VHF-band - in four polarisations to illuminate an area on the ground. Normally only the horizontal (H) or vertical (V) linear polarizations are used. The radar system is characterized by combination of polarization of transmitted and received pulse: HH - HV - VH or VV. A typical radar system measures the strength and roundtrip time of the microwave signals that are emitted by a radar antenna and reflected off a target area. An imaging radar is therefore both and imaging and a ranging system. The illuminated objects are mapped in the radar depending on their backscatter intensity and respective range to the sensor.\rImaging radar can be mounted on aircraft or satellite. It operates in a side-looking configuration - left or right with reference to the flight direction. This acquisition geometry allows the distinct mapping of scatterers corresponding to their respective distance to the sensor. It causes also geometric distortions in the radar image - i.e. - relief displacement (foreshortening and layover) and shadow. The radar sensor operates not in the real aperture of the radar antenna - i.e. - real spatial width - radar (RAR) mode but in the synthetic aperture radar (SAR) mode. Synthetic aperture is possible to set up through the forward motion of the spacecraft - which enables to “extend” the real size of the radar antenna. With a SAR - each object on the ground is sampled at several antenna positions along the flight path - i.e. - as long as the antenna beam is illuminating it.\rImaging radar can be used for a different of land and water applications.,NONE
678,PS1-3-2-1-1,Laser profiler,Laser profilers measure 2D range profiles and operate in different environments - like spaceborne - airborne and indoor. It is the simplest application of the LIght Detection And Ranging technique. It transmits a short pulse of energy (visible or near-infrared radiation) and detects 'echo' - by measuring the time delay. Knowing the speed of propagation of the pulse (speed of light) - the range from the instrument to the surface can be measured.\rLaser profiling uses successive reflectorless laser range measurements (1D distance measurement) on adjacent points along a path - which results in a 2D profile or cross-section of the ground. A laser profiler can be terrestrial - or ground-based - or it can be mounted on an airborne or spaceborne platform. In the case of ground-based measurements - the platform is fixed but the angle of illumination changes - allowing for the cross section of the terrain to be mapped. An airborne laser profiler can transmit a continuous stream of pulses along its flight path. As a result - if the position of the platform is known - e.g. from GPS/IMU system - a surface profile along the flight path can be reconstructed using the successively recorded vertical distances between the platform and the points on the ground. The use of an additional rotational mirror allow to scan the Earth in an additional dimension - providing 3D information of the mapped surface. This is the principle of a laser scanner.\rThere are two principal types of laser profiling techniques: the first one is based on analog detection and the second on photon counting. In analog detection - the signal power is converted into an output voltage providing a signal strength as function of time. The analog-to-digital conversion yields either a full waveform that allows retrieving the entire time-structure of the return signal strength- and therefore the full vertical structure of the target- - or discrete returns when the signal strength exceed a certain threshold. The full waveform information is especially useful when analyzing vegetation - as every vegetation layer (canopy - stems - branches) and the ground return pulses - allowing the determination of e.g. canopy height - ground surface topography but also a deeper analysis of the canopy structure. Photon counting techniques record the arrival of single photons. The counting of photons is combined with their time-of-flight. The accumulation of single photons at a specific range is similar to the signal strength of analog detection and allows retrieving the height and structure of specific targets.\re can be measured.,NONE
679,PS1-3-2-1-4,Radar altimeters,A radar altimeter is an active - non-imaging remote sensing device. It measures the height of the terrain along the track beneath an air- or spaceborne platform using electromagnetic radiation from the microwave region of the electromagnetic spectrum. Radar altimeters operate similar to laser profilers. Both emit a short pulse of electromagnetic radiation towards the Earth’s surface and detect the time delayed echo. By measuring the time delay and knowing the speed of propagation of the pulse - the range (distance) from the instrument to the surface can be determined. By using the forward motion of the altimeter platform and transmitting a continuous stream of pulses a profile can be built up. If the exact location of the platform as a function of time is known - a surface profile can be generated. \rFor a high accuracy of the range resolution - a narrow antenna beam is required - which can be achieved either by using large antennas or short radar beams. In the first case - the radar altimeter is beam-limited; in the second case it is pulse-limited. As large antennas are not practical in space - pulse-limited systems are used for space-borne platforms. Pulse-limited altimeters use frequency modulated (chirp) pulses generated by a chirp generator. The accuracy of the measurements also depends on atmospheric transmission effects - as the speed of the electromagnetic radiation traveling at the speed of light will be delayed when passing through the ionosphere and the atmosphere twice. In general - the range resolution of radar altimeters is in the order of a few centimetres. \rIn the beginning - radar altimeters were used for measurements of surface profiles of the ocean topography to get information about currents - ocean circulation - wind and waves. Another basic application of altimetry were measurements over ice sheets and glaciers - e.g. for mass balance determination. Further application domains are geoid measurements also revealing deep sea trenches and the precise monitoring of satellite orbits.,REMOTE SENSING
680,PS1-3-2-1,Laser altimeter,Laser altimeters historically were the first active sensing devices used on airborne platforms - measuring range information in form of single distances since the mid-1960s.  \rEven though laser scanners made it possible to retrieve information in a more rapid and denser coverage since the mid-1990s - laser altimeters remain of importance in the scientific community. Especially - the mapping of ice-covered surfaces - water bodies and flat land areas is still performed using laser altimeters.\rLaser altimeters are either airborne or spaceborne and are often used together with microwave (radar) profiler in order to calibrate the radar instruments. Whereas airborne laser altimeters are preferred for forestry application - e.g. for analyzing vertical vegetation structure - spaceborne laser altimeters are additionally used for multiple other applications. In particular - spaceborne laser profiler are of high interest for studying surface roughness of ice sheets or for mapping desert topography. Furthermore - spaceborne laser profilers are also useful in atmospheric science for retrieving cloud structure and analyzing different aerosol layers. The requirements for airborne and spaceborne laser altimeters are different. In particular - for spaceborne altimeters - both the distance travelled by the laser pulse and the platform speed are much higher than for airborne instruments - inducing the need of larger optics and more powerful laser instruments. First spaceborne laser experiments were conducted onboard the space shuttle in the mid-1990s - first aiming atmospheric research with a near infrared laser. After successful trial - the space shuttle laser altimeter was fine-tuned and follow-up missions focused on mapping terrain relief and vegetation canopies. Later missions - such as GLAS (IceSAT) - ATLAS (IceSAT-2) and GEDI (ISS) - used either near-infrared or green (or both) laser light and focused on improving ground coverage while allowing smaller footprints of the laser beam on ground. The revisit cycle of spaceborne laser altimeters allow the determination of regional elevation changes - e.g. monitoring of ice–sheet thickness or vegetation height - which is highly relevant for the scientific community and climate modelers.,NONE
681,PS1-3-2-3,Ranging camera,By a ranging camera the simultaneous capturing of range measurements in the form of a range image for an extended area of dynamical 3D applications is given. Applications are building surveillance - traffic monitoring - and driver assistance.,NONE
682,PS1-3-2-4-1,Spaceborne Laser Scanning,Spaceborne Laser Scanning (SLS; e.g. Geoscience Laser Altimeter System - GLAS - Global Ecosystem Dynamics Investigation - GEDI) provides mainly global - depending on the platform (GEDI mounted on International Space Station (ISS) provides measurements over the Earth’s surface between 51.6° N and 51.6° S) - measurements of the Earth's surface - with the potential on capturing additionally clouds and atmospheric aerosols. The spaceborne measurements allow to globally observe ice sheet and land elevations - approximate sea ice thickness - changes in elevation through time - vegetation coverage for biomass estimation - and height profiles of clouds and aerosols.,NONE
683,PS1-3-2-4-2,Airborne Laser Scanning,Airborne Laser Scanning (ALS) systems allow a direct and illumination-independent measurement from 3D objects in a fast - remote and accurate way. Beside basic range measurements - the current commercial ALS developments allow to record the waveform of the backscattered laser pulse. Latest trends in sensor developments focus on single-photon detection. Different applications are of interest - like urban planning - forestry surveying - or power line monitoring. Further to describe the 3D scene - products like digital terrain models (DTMs) - digital surface models (DSMs) - or city models are provided.,NONE
684,PS1-3-2-4-3,Mobile Laser Scanning,A mobile laser scanning or LiDAR system (MLS) consists of a moving vehicle equipped with one or more usually side-looking laser scanners to capture information about the local 3D geometry.,NONE
685,PS1-3-2-4-4,Underwater Laser Scanning,Underwater Laser Scanning is applied in deep-sea as well as in shallow water regions. The ranging distance is close range and the measurement principle relies on triangulation by laser light - comparable with structured-light-projection. More recently - companies started to develop Time-of-Flight (ToF) underwater laser scanners.,NONE
686,PS1-3-2-4-5,Bathymetric Laser Scanning,For Bathymetric Laser Scanning System the utilized green laser light with its potential penetration capabilities in water is essential.  For water surface mapping the electromagnetic radiation of the laser penetrates into the topmost layer of the water column and can also be used for mapping the water surface and shallow water bathymetry. Area-wide water surface heights and depths are required for many disciplines such as hydrology - hydraulic engineering - flood risk management - ecology - climate change - etc.,NONE
687,PS1-3-2-4,Laser scanner,Laser scanners capture data by successively considering points on a discrete - regular (typically spherical) raster - and recording the respective geometric and radiometric information.\rThere are different types of laser scanners depending on their application and the platform on which they are mounted: spaceborne - airborne - terrestrial - mobile - underwater - bathymetric.,NONE
688,PS1-3-2,LiDAR (Light Detection and Ranging),The main idea of LiDAR (Light Detection and Ranging) technology is based on actively scanning the scene by involving a device which emits electromagnetic radiation in the form of modulated laser light. \rGenerally - such scanning devices illuminate a scene with modulated laser light and analyze the backscattered signal. More specifically - laser light is emitted by the scanning device and transmitted to an object. At the object surface - the laser light is partially reflected and - finally - a certain amount of the laser light reaches the receiver unit of the scanning device. The measurement principle is therefore of great importance as it may be based on different signal properties such as amplitude - frequency - polarization - time - or phase. \rMany scanning devices are based on measuring the time t between emitting and receiving a laser pulse - i.e. - the respective time-of-flight - and exploiting the measured time t in order to derive the distance r between the scanning device and the respective 3D scene point. Alternatively - a range measurement r may be derived from phase information by exploiting the phase difference Δφ between emitted and received signal. According to seminal work - respective scanning devices may be categorized with respect to laser type - modulation technique - measurement principle - detection technique - or configuration between emitting and receiving component of the device. \rIn order to get from single 3D scene points to the geometry of object surfaces - respective scanning devices are typically mounted on a platform which - in turn - allows a sequential scanning of the scene by successively measuring distances for discrete 3D points.\rLiDAR technology is used for a diversity of applications such as autonomous driving - forestry - biomass estimation - precision farming - archaeology - city mapping - terrain modelling - and metrology.,NONE
689,PS1-3-3-1,Sonar,Sonar - also called ultrasonic sensing - is one the principal sensors for mapping sea-floor - i.e. bathymetry. It transmits sound waves through water and records the amount of backscattered energy. It uses frequencies higher than normal hearing. A sonar can be either passive or active. Active sonars are also called echosounders.,NONE
690,PS1-3-3-2,Seismic sensor,A seismic sensor is also called seismometer and measures the motion of the ground when it is shaken by a perturbation such as an earthquake - be it a large displacement or a microquake. The physical variable associated to the measurement of a seismometer is dynamic. It can be either the amplified ground motion - the velocity or acceleration. Current seismometers transform one of these three parameters into a voltage measurement. Usually - three seismometers are needed to retrieve the three components of the displacement. As for other sensors - there exists many types of seismic sensors - and they can be distinguished in active and passive sensors as well.,NONE
691,PS1-3-3,Sonic sensors,Instruments that measure vertical distribution of precipitation and other atmospheric characteristics such as temperature - humidity - and cloud composition.,NONE
692,PS1-3-4-1,Radar Scatterometers,Radar scatterometer is a calibrated radar designed to measure the radar backscatter cross section of a target - generally an area on the earth’s surface. Surface backscatter is measured as a function of the frequency - polarization - and illumination direction of the sensing signal (microwaves).,NONE
693,PS1-3-4-2-1,Differential Absorption Lidar,Differential Absorption Lidar (DIAL) is a laser remote sensing technique that is used for range and/or profile measurements of atmospheric gas concentrations and constituents.,REMOTE SENSING
694,PS1-3-4-2-2,Doppler Wind LiDAR,Doppler Wind LiDAR or Cloud-Aerosol Lidar with Orthogonal Polarization (e.g. CALIOP) is a two-wavelength polarization-sensitive LiDAR that provides high-resolution vertical profiles of atmospheric aerosols and clouds to enable an greater understanding of our climate.,NONE
695,PS1-4,Imaging vs. nonimaging sensors,There are different ways to classify sensors used in remote sensing. One of them is the division into imaging and non-imaging sensors. Imaging sensors typically employ optical imaging systems (from VIS to TIR). They operate primarily at window frequencies - where atmospheric absorption is low and surface features can be imaged or measured. Non-imaging sensors include microwave radiometers - microwave altimeters - magnetic sensors - gravimeters - Fourier spectrometers - laser rangefinders - and laser altimeters.,REMOTE SENSING
696,PS1-5-1-2,Across track scanners,Across track scanners - known as whiskbroom electromechanical scanners - are multispectral imaging systems building the final image (ground cell by ground cell) by combination of the platform motion along the orbital track with a mechanical rotation of the collecting optic in the across track direction. Opto-mechanical are typically multi-spectral radiometers (no limitation on bands) - whiskbroom systems are usually CDD spectrometers (high spectral resolution but just up to 1 micrometer). Examples of the sensors: Landsat Multispectral Scanner (MSS) - Landsat Thematic Mapper (TM).,NONE
